FACILITY_NAME,GHGRP_ID,ADDRESS,LATITUDE,LONGITUDE,CITY,COUNTY NAME,STATE,ZIP,GHG_QUANTITY,TYPE
Meeker Gas Plant,1004822,27991 County Rd 5,39.910727,-108.294316,Rifle,GARFIELD,CO,81650,258404,pe
Midway Landfill,1007863,8925 Rancho Colorado Boulevard,38.547492,-104.661847,Fountain,PUEBLO,CO,80817,116502,pe
NORTH WELD SANITARY LANDFILL,1007880,40000 WELD COUNTY RD 25,40.58156,-104.8318,AULT,WELD,CO,80610,135048,pe
O'Connor Gas Plant,1010119,,40.352206,-104.587772,LaSalle,Weld,CO,80645,46781,pe
OWENS-BROCKWAY GLASS CONTAINER INC PLANT 28,1001975,11133 Eastman Park Drive,40.461452,-104.849165,Windsor,WELD COUNTY,CO,80550,31321,pe
"Oxbow Mining, LLC",1009623,3737 Highway 133,38.926289,-107.470007,Somerset,GUNNISON COUNTY,CO,81434,19769,pe
PLATTEVILLE GAS PLANT,1005678,13675 WELD COUNTY ROAD 34,40.232045,-104.798221,PLATTEVILLE,WELD,CO,80651,2588,pe
Plateville Compressor Station,1006880,,40.2235,-104.7196,Brighton,Weld,CO,80601,12656,pe
Public Service Company of Colorado,1002895,1800 Larimer Street,39.75125,-104.99457,Denver,DENVER COUNTY,CO,80202,206534,pe
ROCKY MOUNTAIN BOTTLE COMPANY,1003465,10619 W 50TH AVE,39.78741,-105.11498,WHEAT RIDGE,JEFFERSON COUNTY,CO,80033,29774,pe
ROGGEN GAS PLANT,1002031,35409 WELD COUNTY ROAD 18,40.117556,-104.387444,ROGGEN,WELD,CO,80652,3726,pe
Rangely Gas Plant,1009244,100 Chevron Road,40.1064831,-108.8670246,Rangely,,CO,81648,5518,pe
SPINDLE GAS PROCESSING PLANT,1002415,9101 WELD COUNTY RD 14,40.088944,-104.884194,FT LUPTON,WELD,CO,80621,2694,pe
SUMMIT COUNTY LANDFILL,1005695,639 LANDFILL RD,39.608712,-105.997922,DILLON AREA,SUMMIT,CO,80435,32853,pe
SUNCOR ENERGY (USA) COMMERCE CITY REFINERY,1007923,5801 BRIGHTON BLVD,39.805556,-104.944444,COMMERCE CITY,ADAMS,CO,80022,404184,pe
"SourceGas, LLC - Arkansas",1006604,600 12th Street; Suite 300,39.722098,-105.135202,Golden,JEFFERSON,CO,80401,61305,pe
"SourceGas, LLC - Colorado",1004607,600 12th Street; Suite 300,39.722098,-105.135202,Golden,JEFFERSON,CO,80401,16043,pe
"SourceGas, LLC - Nebraska",1006605,600 12th Street; Suite 300,39.722098,-105.135202,Golden,JEFFERSON,CO,80401,21233,pe
"SourceGas, LLC - Wyoming",1006603,600 12th Street; Suite 300,39.722098,-105.135202,Golden,JEFFERSON,CO,80401,10277,pe
Sterling Energy Investments LLC Centennial Gas Plant,1011986,47285 County Road 100,40.711642,-104.285426,Briggsdale,,CO,80611,11314,pe
Summit Natural Gas of Maine,1011282,7810 Shaffer Parkway,39.57476,-105.13261,Littleton,JEFFERSON COUNTY,CO,80127,17905,pe
Summit Natural Gas of Missouri,1009519,7810 Shaffer Pkwy Suite 120,39.57476,-105.13261,Littleton,JEFFERSON COUNTY,CO,80127,108273,pe
TOWER LANDFILL INC,1006044,8480 TOWER ROAD,39.853416,-104.767499,COMMERCE CITY,DENVER,CO,80022,22930,pe
Twentymile Mine,1001682,29515 Route County Road #27,40.334417,-107.081476,Oak Creek,ROUTT COUNTY,CO,80467,10375,pe
Twin Landfill Corporation,1006834,20650 County Road 205,40.474444,-107.04,Milner,ROUTT COUNTY,CO,80487,46029,pe
WASTE MGMT OF CO INC County Line,1007907,4200 E COUNTY LINE RD,39.5636,-104.9335,LITTLETON,DOUGLAS,CO,80126,5647,pe
WESTERN SUGAR COOP,1001823,18317 HIGHWAY 144,40.26269,-103.80612,FORT MORGAN,MORGAN,CO,80701,0,pe
